Transaction_ID,Date,Origin_Facility,Destination_City,Vehicle_Type,Route_Type,Distance_KM,Package_Weight_KG,Traffic_Conditions,Carbon_Emission_kgCO2e,Is_Eco_Friendly,Vehicle_Standard,Type,CO2_Intensity_g_km,Traffic_Score,Distance_Cat,Weight_Cat
TRX-3AE34354,2025-04-13,Semarang Depot,Elliottfort,Motorcycle (Courier),Inter-District,37.1,8.1,Normal,4.001,0,Thermal Scooter,Thermal,107.84366576819407,2,Urban 10-50km,Medium 5-20kg
TRX-97AA4B35,2025-07-21,Semarang Depot,New Jeffreyberg,Heavy Truck,Inter-City,748.4,2656.4,Normal,688.37,0,Thermal Truck,Thermal,919.788882950294,2,,
TRX-4F9EF064,2025-11-16,Medan Distribution,Lake Alexandraville,Drone Delivery,Urban Last Mile,1.4,7.1,Normal,0.009,1,Drone,Electric,6.428571428571429,2,Urban <10km,Medium 5-20kg
TRX-2014F6F1,2025-10-08,Bandung Hub,Harrisonfort,Drone Delivery,Urban Last Mile,1.7,21.3,Normal,0.016,1,Drone,Electric,9.411764705882353,2,Urban <10km,Heavy 20-100kg
TRX-B35CA22A,2025-12-12,Makassar Port,Port Norma,Diesel Van (Euro 4),Mixed Route,110.4,13.2,Low,26.799,0,Thermal Van,Thermal,242.74456521739128,1,Long-Haul >100km,Medium 5-20kg
TRX-9DD7658D,2025-09-03,Bandung Hub,Craigside,Motorcycle (Courier),Inter-District,36.0,25.6,Normal,3.659,0,Thermal Scooter,Thermal,101.63888888888889,2,Urban 10-50km,Heavy 20-100kg
TRX-FB0B77EA,2025-04-10,Jakarta Fulfillment Center,Santiagoport,Cargo Bicycle,Urban Last Mile,10.8,20.4,High,0.0,1,Electric Bike,Electric,0.0,3,Urban 10-50km,Heavy 20-100kg
TRX-0BB1353B,2025-08-03,Makassar Port,Ballardfurt,Heavy Truck,Inter-City,275.7,2309.4,Low,228.001,0,Thermal Truck,Thermal,826.9894813202757,1,Long-Haul >100km,
TRX-E2A4E5CE,2025-06-20,Surabaya Warehouse,West Marie,Heavy Truck,Inter-City,659.9,2758.5,Low,522.458,0,Thermal Truck,Thermal,791.7229883315654,1,,
TRX-2EB5AE1E,2025-01-06,Semarang Depot,East Dianamouth,Drone Delivery,Urban Last Mile,13.4,13.3,High,0.108,1,Drone,Electric,8.059701492537313,3,Urban 10-50km,Medium 5-20kg
TRX-3107777A,2025-11-11,Surabaya Warehouse,Wardborough,Drone Delivery,Urban Last Mile,4.8,1.5,Severe Congestion,0.025,1,Drone,Electric,5.208333333333334,4,Urban <10km,Light <5kg
TRX-0E8FDACD,2025-04-14,Makassar Port,Owensfort,Heavy Truck,Inter-City,772.5,4116.0,High,911.44,0,Thermal Truck,Thermal,1179.8576051779935,3,,
TRX-06498B9E,2025-11-12,Semarang Depot,Grantton,Electric Van (EV),Mixed Route,139.0,8.2,High,7.95,1,Electric Van,Electric,57.194244604316545,3,Long-Haul >100km,Medium 5-20kg
TRX-E499C679,2025-11-21,Semarang Depot,Leviville,Motorcycle (Courier),Inter-District,22.9,24.9,Low,2.348,0,Thermal Scooter,Thermal,102.53275109170306,1,Urban 10-50km,Heavy 20-100kg
TRX-E1715FD9,2025-06-22,Semarang Depot,Shawnburgh,Heavy Truck,Inter-City,564.7,651.3,Severe Congestion,730.718,0,Thermal Truck,Thermal,1293.993270763237,4,,Bulk >100kg
TRX-0418A7A3,2025-06-17,Surabaya Warehouse,Bentleyview,Electric Van (EV),Mixed Route,74.1,24.5,Severe Congestion,4.306,1,Electric Van,Electric,58.11066126855601,4,Suburban 50-100km,Heavy 20-100kg
TRX-504609C0,2025-12-19,Semarang Depot,Woodborough,Cargo Bicycle,Urban Last Mile,11.0,28.9,Low,0.0,1,Electric Bike,Electric,0.0,1,Urban 10-50km,Heavy 20-100kg
TRX-8F100E75,2025-10-20,Surabaya Warehouse,Thomastown,Motorcycle (Courier),Inter-District,37.3,5.9,Normal,3.125,0,Thermal Scooter,Thermal,83.78016085790885,2,Urban 10-50km,Medium 5-20kg
TRX-C261C10D,2025-02-07,Semarang Depot,South Beverlyland,Drone Delivery,Urban Last Mile,11.2,28.2,Normal,0.109,1,Drone,Electric,9.732142857142858,2,Urban 10-50km,Heavy 20-100kg
TRX-824903A7,2025-08-27,Makassar Port,East David,Electric Van (EV),Mixed Route,136.5,11.4,High,7.163,1,Electric Van,Electric,52.476190476190474,3,Long-Haul >100km,Medium 5-20kg
TRX-C19C4369,2025-01-20,Bandung Hub,Elizabethstad,Cargo Bicycle,Urban Last Mile,13.0,4.8,Low,0.0,1,Electric Bike,Electric,0.0,1,Urban 10-50km,Light <5kg
TRX-E9442C68,2025-03-04,Jakarta Fulfillment Center,West Elizabethshire,Diesel Van (Euro 4),Mixed Route,10.0,17.6,High,3.587,0,Thermal Van,Thermal,358.7,3,Urban <10km,Medium 5-20kg
TRX-5B81A32C,2025-10-28,Jakarta Fulfillment Center,Norrisberg,Heavy Truck,Inter-City,655.6,1615.3,Normal,592.478,0,Thermal Truck,Thermal,903.718730933496,2,,
TRX-950D1D79,2025-08-02,Medan Distribution,South Brianna,Diesel Van (Euro 4),Mixed Route,115.3,28.7,Severe Congestion,53.564,0,Thermal Van,Thermal,464.5620121422377,4,Long-Haul >100km,Heavy 20-100kg
TRX-90EF25F5,2025-08-23,Makassar Port,Christopherburgh,Drone Delivery,Urban Last Mile,9.9,5.1,Normal,0.058,1,Drone,Electric,5.858585858585858,2,Urban <10km,Medium 5-20kg
TRX-E6033012,2026-01-01,Surabaya Warehouse,Port Kimberly,Cargo Bicycle,Urban Last Mile,9.2,23.2,High,0.0,1,Electric Bike,Electric,0.0,3,Urban <10km,Heavy 20-100kg
TRX-B742F0D8,2025-08-18,Semarang Depot,Williamfurt,Cargo Bicycle,Urban Last Mile,11.1,4.5,High,0.0,1,Electric Bike,Electric,0.0,3,Urban 10-50km,Light <5kg
TRX-83FC40B9,2025-11-12,Bandung Hub,New Lindsay,Motorcycle (Courier),Inter-District,25.6,28.8,Severe Congestion,4.209,0,Thermal Scooter,Thermal,164.4140625,4,Urban 10-50km,Heavy 20-100kg
TRX-189EABBF,2025-05-29,Makassar Port,North Pedroland,Heavy Truck,Inter-City,303.5,2380.0,High,357.777,0,Thermal Truck,Thermal,1178.836902800659,3,Long-Haul >100km,
TRX-C3FEEF46,2025-01-22,Bandung Hub,Debbietown,Diesel Van (Euro 6),Mixed Route,119.7,27.5,Severe Congestion,35.429,0,Thermal Van,Thermal,295.9816207184628,4,Long-Haul >100km,Heavy 20-100kg
TRX-F34127B2,2025-01-12,Surabaya Warehouse,Murphyport,Heavy Truck,Inter-City,388.4,4136.0,Severe Congestion,608.368,0,Thermal Truck,Thermal,1566.3439752832132,4,Long-Haul >100km,
TRX-0EF112D0,2025-06-26,Medan Distribution,Robinfort,Drone Delivery,Urban Last Mile,3.8,0.9,Normal,0.02,1,Drone,Electric,5.2631578947368425,2,Urban <10km,Light <5kg
TRX-738D01F2,2025-07-03,Jakarta Fulfillment Center,East Brittany,Motorcycle (Courier),Inter-District,36.1,2.0,Severe Congestion,5.373,0,Thermal Scooter,Thermal,148.8365650969529,4,Urban 10-50km,Light <5kg
TRX-0A4D05F7,2025-03-24,Surabaya Warehouse,Hansonmouth,Cargo Bicycle,Urban Last Mile,5.9,23.2,Normal,0.0,1,Electric Bike,Electric,0.0,2,Urban <10km,Heavy 20-100kg
TRX-0F45B119,2025-08-23,Jakarta Fulfillment Center,Lake Jennifer,Diesel Van (Euro 4),Mixed Route,81.5,10.2,Normal,24.378,0,Thermal Van,Thermal,299.1165644171779,2,Suburban 50-100km,Medium 5-20kg
TRX-C9095CF6,2025-08-03,Surabaya Warehouse,Johnsonburgh,Motorcycle (Courier),Inter-District,16.4,4.1,High,2.108,0,Thermal Scooter,Thermal,128.53658536585368,3,Urban 10-50km,Light <5kg
TRX-312203D8,2025-01-20,Semarang Depot,South Mirandaborough,Heavy Truck,Inter-City,533.0,1268.3,Normal,486.984,0,Thermal Truck,Thermal,913.6660412757974,2,,
TRX-2FBF997F,2025-07-09,Medan Distribution,East Debbieborough,Heavy Truck,Inter-City,244.9,3305.0,High,292.052,0,Thermal Truck,Thermal,1192.535728868926,3,Long-Haul >100km,
TRX-9090C866,2025-11-04,Semarang Depot,East Donna,Heavy Truck,Inter-City,263.3,3699.0,Normal,247.398,0,Thermal Truck,Thermal,939.6050132928218,2,Long-Haul >100km,
TRX-D7CDED63,2025-03-16,Medan Distribution,Nelsonside,Motorcycle (Courier),Inter-District,6.2,19.6,Low,0.57,0,Thermal Scooter,Thermal,91.93548387096774,1,Urban <10km,Medium 5-20kg
TRX-5B890F93,2025-06-12,Bandung Hub,South Kevinstad,Diesel Van (Euro 4),Mixed Route,100.8,28.0,Normal,29.882,0,Thermal Van,Thermal,296.4484126984127,2,Long-Haul >100km,Heavy 20-100kg
TRX-C4115075,2025-03-11,Jakarta Fulfillment Center,Stevenchester,Motorcycle (Courier),Inter-District,35.4,19.4,Normal,3.791,0,Thermal Scooter,Thermal,107.090395480226,2,Urban 10-50km,Medium 5-20kg
TRX-EA67C817,2025-04-24,Semarang Depot,Thompsonhaven,Cargo Bicycle,Urban Last Mile,10.5,1.1,Low,0.0,1,Electric Bike,Electric,0.0,1,Urban 10-50km,Light <5kg
TRX-D9574E67,2025-07-09,Makassar Port,Wilsonhaven,Heavy Truck,Inter-City,253.1,4472.0,Normal,246.63,0,Thermal Truck,Thermal,974.4369814302647,2,Long-Haul >100km,
TRX-8FCEE92D,2025-11-08,Bandung Hub,Lisaborough,Diesel Van (Euro 6),Mixed Route,102.6,6.0,Normal,20.992,0,Thermal Van,Thermal,204.60038986354778,2,Long-Haul >100km,Medium 5-20kg
TRX-8C7844AD,2025-04-02,Surabaya Warehouse,North Nataliemouth,Motorcycle (Courier),Inter-District,23.7,26.1,High,3.235,0,Thermal Scooter,Thermal,136.49789029535864,3,Urban 10-50km,Heavy 20-100kg
TRX-6DBDFC46,2025-06-10,Semarang Depot,North Michael,Electric Van (EV),Mixed Route,36.2,5.7,Normal,1.997,1,Electric Van,Electric,55.16574585635359,2,Urban 10-50km,Medium 5-20kg
TRX-52A6900C,2025-03-04,Semarang Depot,Annashire,Motorcycle (Courier),Inter-District,40.0,24.5,Normal,4.167,0,Thermal Scooter,Thermal,104.175,2,Urban 10-50km,Heavy 20-100kg
TRX-BE82BB48,2025-11-06,Surabaya Warehouse,North Christine,Motorcycle (Courier),Inter-District,11.2,15.8,Low,1.051,0,Thermal Scooter,Thermal,93.83928571428572,1,Urban 10-50km,Medium 5-20kg
TRX-588FD6B9,2025-04-21,Semarang Depot,New Kenneth,Diesel Van (Euro 4),Mixed Route,83.8,16.0,Normal,22.159,0,Thermal Van,Thermal,264.4272076372315,2,Suburban 50-100km,Medium 5-20kg
TRX-5F6E735E,2025-04-17,Surabaya Warehouse,North Kimberly,Drone Delivery,Urban Last Mile,2.3,6.8,Normal,0.015,1,Drone,Electric,6.521739130434783,2,Urban <10km,Medium 5-20kg
TRX-F1C85F81,2025-02-09,Jakarta Fulfillment Center,Jacksonton,Diesel Van (Euro 4),Mixed Route,133.0,19.5,Low,33.087,0,Thermal Van,Thermal,248.77443609022558,1,Long-Haul >100km,Medium 5-20kg
TRX-5B22FF5F,2025-10-24,Semarang Depot,Jenniferburgh,Heavy Truck,Inter-City,648.3,4322.7,Normal,625.195,0,Thermal Truck,Thermal,964.3606355082525,2,,
TRX-15527950,2025-09-10,Makassar Port,New Lawrenceshire,Diesel Van (Euro 6),Mixed Route,144.6,10.9,High,37.643,0,Thermal Van,Thermal,260.32503457814664,3,Long-Haul >100km,Medium 5-20kg
TRX-76650E48,2025-11-24,Bandung Hub,West Sarahburgh,Electric Van (EV),Mixed Route,88.7,17.4,High,4.801,1,Electric Van,Electric,54.12626832018038,3,Suburban 50-100km,Medium 5-20kg
TRX-BECCDD27,2025-04-14,Medan Distribution,Bryanchester,Diesel Van (Euro 6),Mixed Route,25.4,21.6,High,6.092,0,Thermal Van,Thermal,239.84251968503938,3,Urban 10-50km,Heavy 20-100kg
TRX-22BBC2E0,2025-12-05,Medan Distribution,Roberttown,Drone Delivery,Urban Last Mile,9.0,6.8,High,0.063,1,Drone,Electric,7.0,3,Urban <10km,Medium 5-20kg
TRX-9F6D99B2,2025-01-25,Surabaya Warehouse,East Andrewville,Heavy Truck,Inter-City,287.7,3000.8,Low,237.155,0,Thermal Truck,Thermal,824.3135210288496,1,Long-Haul >100km,
TRX-2CA0FB94,2025-02-08,Jakarta Fulfillment Center,Lesliemouth,Drone Delivery,Urban Last Mile,4.7,28.7,Low,0.049,1,Drone,Electric,10.425531914893616,1,Urban <10km,Heavy 20-100kg
TRX-5777E9F6,2025-08-26,Bandung Hub,South Leslieborough,Diesel Van (Euro 4),Mixed Route,105.8,22.9,Severe Congestion,45.217,0,Thermal Van,Thermal,427.3818525519849,4,Long-Haul >100km,Heavy 20-100kg
TRX-6A96883E,2025-08-21,Makassar Port,Simmonsville,Drone Delivery,Urban Last Mile,3.6,19.1,High,0.035,1,Drone,Electric,9.722222222222221,3,Urban <10km,Medium 5-20kg
TRX-5A908330,2025-09-26,Medan Distribution,Michelleview,Electric Van (EV),Mixed Route,48.8,25.2,Low,2.351,1,Electric Van,Electric,48.17622950819673,1,Urban 10-50km,Heavy 20-100kg
TRX-A81E3CE6,2025-06-03,Surabaya Warehouse,Staceystad,Electric Van (EV),Mixed Route,32.6,8.1,High,1.554,1,Electric Van,Electric,47.668711656441715,3,Urban 10-50km,Medium 5-20kg
TRX-5FEEE5FA,2025-01-25,Jakarta Fulfillment Center,Johnsport,Motorcycle (Courier),Inter-District,35.3,27.2,High,5.025,0,Thermal Scooter,Thermal,142.35127478753543,3,Urban 10-50km,Heavy 20-100kg
TRX-D2C2DCC8,2025-09-30,Surabaya Warehouse,Keithville,Motorcycle (Courier),Inter-District,38.8,2.2,Severe Congestion,5.528,0,Thermal Scooter,Thermal,142.47422680412373,4,Urban 10-50km,Light <5kg
TRX-3DCB2788,2025-04-28,Bandung Hub,Florestown,Diesel Van (Euro 4),Mixed Route,53.4,3.3,High,18.643,0,Thermal Van,Thermal,349.1198501872659,3,Suburban 50-100km,Light <5kg
TRX-4EBE760A,2025-08-01,Medan Distribution,Jameston,Heavy Truck,Inter-City,791.7,4358.5,High,954.127,0,Thermal Truck,Thermal,1205.1623089554123,3,,
TRX-B66A7E33,2025-10-10,Surabaya Warehouse,East Christineville,Drone Delivery,Urban Last Mile,7.4,19.0,Normal,0.064,1,Drone,Electric,8.648648648648647,2,Urban <10km,Medium 5-20kg
TRX-1E719D88,2025-01-17,Makassar Port,New Michael,Heavy Truck,Inter-City,126.6,2318.9,Low,107.295,0,Thermal Truck,Thermal,847.5118483412323,1,Long-Haul >100km,
TRX-4904BDB3,2025-09-11,Medan Distribution,Anthonyshire,Diesel Van (Euro 6),Mixed Route,93.2,13.1,Normal,18.101,0,Thermal Van,Thermal,194.2167381974249,2,Suburban 50-100km,Medium 5-20kg
TRX-032EE7D6,2025-02-21,Makassar Port,Robertfurt,Diesel Van (Euro 4),Mixed Route,106.1,25.9,Low,25.846,0,Thermal Van,Thermal,243.60037700282754,1,Long-Haul >100km,Heavy 20-100kg
TRX-33B26296,2025-04-05,Makassar Port,Batesberg,Electric Van (EV),Mixed Route,64.5,28.4,Low,3.172,1,Electric Van,Electric,49.17829457364341,1,Suburban 50-100km,Heavy 20-100kg
TRX-8D75AFEA,2025-03-15,Surabaya Warehouse,Lake Jenniferside,Diesel Van (Euro 4),Mixed Route,113.0,13.4,Normal,32.557,0,Thermal Van,Thermal,288.11504424778764,2,Long-Haul >100km,Medium 5-20kg
TRX-75407AD7,2025-09-25,Jakarta Fulfillment Center,Smallberg,Electric Van (EV),Mixed Route,107.3,9.0,High,5.539,1,Electric Van,Electric,51.62162162162162,3,Long-Haul >100km,Medium 5-20kg
TRX-719FA96A,2025-04-01,Jakarta Fulfillment Center,North Joshuafort,Electric Van (EV),Mixed Route,117.5,9.9,High,6.474,1,Electric Van,Electric,55.09787234042553,3,Long-Haul >100km,Medium 5-20kg
TRX-4D13FFC8,2025-06-14,Jakarta Fulfillment Center,Susanberg,Heavy Truck,Inter-City,769.8,1388.5,Normal,758.625,0,Thermal Truck,Thermal,985.4832424006236,2,,
TRX-F1C845AD,2025-09-03,Jakarta Fulfillment Center,Port Harryton,Cargo Bicycle,Urban Last Mile,15.0,5.3,Low,0.0,1,Electric Bike,Electric,0.0,1,Urban 10-50km,Medium 5-20kg
TRX-9FFE13A5,2025-09-12,Jakarta Fulfillment Center,Matthewhaven,Diesel Van (Euro 4),Mixed Route,15.2,15.9,Normal,3.974,0,Thermal Van,Thermal,261.44736842105266,2,Urban 10-50km,Medium 5-20kg
TRX-8463AE57,2025-10-23,Medan Distribution,Briantown,Cargo Bicycle,Urban Last Mile,14.6,9.4,Low,0.0,1,Electric Bike,Electric,0.0,1,Urban 10-50km,Medium 5-20kg
TRX-FF8BA420,2025-09-03,Semarang Depot,South Brian,Heavy Truck,Inter-City,188.4,2368.8,High,213.254,0,Thermal Truck,Thermal,1131.9214437367302,3,Long-Haul >100km,
TRX-E4675AA2,2025-03-30,Semarang Depot,Lake Rebecca,Diesel Van (Euro 6),Mixed Route,118.7,20.0,High,27.737,0,Thermal Van,Thermal,233.6731255265375,3,Long-Haul >100km,Medium 5-20kg
TRX-9DC81792,2025-06-06,Bandung Hub,Stephaniebury,Diesel Van (Euro 6),Mixed Route,86.0,20.0,Low,15.314,0,Thermal Van,Thermal,178.06976744186048,1,Suburban 50-100km,Medium 5-20kg
TRX-1C7B1A43,2025-08-09,Medan Distribution,Matthewborough,Cargo Bicycle,Urban Last Mile,8.8,26.7,Normal,0.0,1,Electric Bike,Electric,0.0,2,Urban <10km,Heavy 20-100kg
TRX-A915DAE6,2025-05-28,Bandung Hub,Stephenmouth,Diesel Van (Euro 6),Mixed Route,13.3,8.7,Normal,2.734,0,Thermal Van,Thermal,205.56390977443607,2,Urban 10-50km,Medium 5-20kg
TRX-F964CE35,2025-08-04,Semarang Depot,Princeshire,Motorcycle (Courier),Inter-District,14.2,9.8,High,1.704,0,Thermal Scooter,Thermal,120.0,3,Urban 10-50km,Medium 5-20kg
TRX-EB34F027,2025-05-04,Makassar Port,East Courtney,Heavy Truck,Inter-City,162.6,1306.9,Normal,158.688,0,Thermal Truck,Thermal,975.9409594095941,2,Long-Haul >100km,
TRX-C97CDF34,2025-03-03,Jakarta Fulfillment Center,Englishstad,Cargo Bicycle,Urban Last Mile,13.1,24.8,Low,0.0,1,Electric Bike,Electric,0.0,1,Urban 10-50km,Heavy 20-100kg
TRX-BA94F3C2,2025-11-15,Surabaya Warehouse,Popeburgh,Electric Van (EV),Mixed Route,98.6,22.8,High,4.507,1,Electric Van,Electric,45.709939148073026,3,Suburban 50-100km,Heavy 20-100kg
TRX-337C77B7,2025-02-04,Surabaya Warehouse,Nathanview,Diesel Van (Euro 4),Mixed Route,102.1,0.8,High,38.489,0,Thermal Van,Thermal,376.97355533790403,3,Long-Haul >100km,Light <5kg
TRX-62519BAE,2025-02-25,Bandung Hub,North Amandashire,Motorcycle (Courier),Inter-District,7.0,7.0,Normal,0.643,0,Thermal Scooter,Thermal,91.85714285714286,2,Urban <10km,Medium 5-20kg
TRX-AD0BA5E2,2025-05-02,Medan Distribution,South Oscarhaven,Drone Delivery,Urban Last Mile,3.1,22.5,Normal,0.028,1,Drone,Electric,9.032258064516128,2,Urban <10km,Heavy 20-100kg
TRX-FE3EE1B6,2025-11-14,Semarang Depot,New Daniel,Cargo Bicycle,Urban Last Mile,14.7,28.6,High,0.0,1,Electric Bike,Electric,0.0,3,Urban 10-50km,Heavy 20-100kg
TRX-F61B5AB9,2025-02-27,Bandung Hub,Cookview,Heavy Truck,Inter-City,680.3,2046.6,Low,563.626,0,Thermal Truck,Thermal,828.4962516536823,1,,
TRX-F59FA3B9,2025-05-03,Bandung Hub,Lake Brittanyborough,Electric Van (EV),Mixed Route,60.3,19.3,High,3.049,1,Electric Van,Electric,50.56384742951907,3,Suburban 50-100km,Medium 5-20kg
TRX-54FDFBBC,2025-03-06,Medan Distribution,Kennethport,Drone Delivery,Urban Last Mile,7.6,23.8,High,0.076,1,Drone,Electric,10.0,3,Urban <10km,Heavy 20-100kg
TRX-4F31A076,2025-05-21,Medan Distribution,South Jacob,Electric Van (EV),Mixed Route,36.3,19.0,High,1.754,1,Electric Van,Electric,48.31955922865014,3,Urban 10-50km,Medium 5-20kg
TRX-10DC05A2,2025-10-20,Bandung Hub,Port Catherinefort,Motorcycle (Courier),Inter-District,36.3,28.5,Normal,3.959,0,Thermal Scooter,Thermal,109.0633608815427,2,Urban 10-50km,Heavy 20-100kg
TRX-1EF9BE32,2026-01-02,Medan Distribution,Kellyside,Cargo Bicycle,Urban Last Mile,6.7,1.6,Severe Congestion,0.0,1,Electric Bike,Electric,0.0,4,Urban <10km,Light <5kg
TRX-17FE4BCF,2025-03-10,Bandung Hub,East Leonardberg,Diesel Van (Euro 4),Mixed Route,51.9,16.6,Low,12.867,0,Thermal Van,Thermal,247.91907514450867,1,Suburban 50-100km,Medium 5-20kg
TRX-0255D409,2025-03-07,Surabaya Warehouse,North Zacharytown,Diesel Van (Euro 6),Mixed Route,110.1,3.5,Low,19.625,0,Thermal Van,Thermal,178.24704813805633,1,Long-Haul >100km,Light <5kg
TRX-F4A56299,2025-11-25,Jakarta Fulfillment Center,Bryceport,Heavy Truck,Inter-City,252.0,4319.2,Normal,207.597,0,Thermal Truck,Thermal,823.797619047619,2,Long-Haul >100km,
TRX-4FA6F7E6,2025-03-27,Medan Distribution,New Chelsea,Electric Van (EV),Mixed Route,90.2,28.7,Normal,4.697,1,Electric Van,Electric,52.073170731707314,2,Suburban 50-100km,Heavy 20-100kg
TRX-AFF5BA20,2025-02-21,Semarang Depot,West Toddland,Heavy Truck,Inter-City,774.2,2824.7,High,862.453,0,Thermal Truck,Thermal,1113.9925083957633,3,,
TRX-69F81376,2025-05-31,Makassar Port,Christinaville,Cargo Bicycle,Urban Last Mile,3.2,15.5,Normal,0.0,1,Electric Bike,Electric,0.0,2,Urban <10km,Medium 5-20kg
TRX-6BC6CCBE,2025-05-18,Jakarta Fulfillment Center,Blankenshipville,Diesel Van (Euro 6),Mixed Route,112.6,10.3,Low,17.836,0,Thermal Van,Thermal,158.40142095914743,1,Long-Haul >100km,Medium 5-20kg
TRX-DA3F0B62,2025-08-06,Surabaya Warehouse,Port Michael,Electric Van (EV),Mixed Route,15.8,18.0,Severe Congestion,0.893,1,Electric Van,Electric,56.51898734177215,4,Urban 10-50km,Medium 5-20kg
TRX-BF27CE30,2025-11-15,Bandung Hub,Hardinstad,Diesel Van (Euro 6),Mixed Route,135.8,9.2,Low,23.024,0,Thermal Van,Thermal,169.54344624447717,1,Long-Haul >100km,Medium 5-20kg
TRX-DF156C1E,2025-02-04,Surabaya Warehouse,Port Theresafort,Electric Van (EV),Mixed Route,28.8,12.0,Normal,1.496,1,Electric Van,Electric,51.94444444444444,2,Urban 10-50km,Medium 5-20kg
TRX-AB61CC29,2025-11-01,Makassar Port,Josephbury,Cargo Bicycle,Urban Last Mile,1.1,18.4,Normal,0.0,1,Electric Bike,Electric,0.0,2,Urban <10km,Medium 5-20kg
TRX-5F672E38,2025-03-09,Semarang Depot,Ryanside,Motorcycle (Courier),Inter-District,17.4,23.3,Low,1.627,0,Thermal Scooter,Thermal,93.50574712643679,1,Urban 10-50km,Heavy 20-100kg
TRX-46D8D187,2025-05-11,Medan Distribution,Rebeccafort,Diesel Van (Euro 6),Mixed Route,111.1,1.4,Normal,22.14,0,Thermal Van,Thermal,199.2799279927993,2,Long-Haul >100km,Light <5kg
TRX-01BDBAD1,2025-06-08,Surabaya Warehouse,Gregorymouth,Heavy Truck,Inter-City,201.3,627.9,Low,144.608,0,Thermal Truck,Thermal,718.3705911574764,1,Long-Haul >100km,Bulk >100kg
TRX-3825B6C3,2025-03-29,Jakarta Fulfillment Center,Katherinestad,Heavy Truck,Inter-City,567.4,3669.7,Low,500.546,0,Thermal Truck,Thermal,882.1748325696158,1,,
TRX-10344437,2025-06-11,Jakarta Fulfillment Center,Lewismouth,Drone Delivery,Urban Last Mile,6.2,11.4,High,0.048,1,Drone,Electric,7.741935483870967,3,Urban <10km,Medium 5-20kg
TRX-85012EB5,2025-10-18,Bandung Hub,South Joseph,Heavy Truck,Inter-City,208.0,3245.1,Normal,189.021,0,Thermal Truck,Thermal,908.7548076923077,2,Long-Haul >100km,
